game_id,game_name,indie,action,adventure,casual,simulation,strategy,rpg,early_access,free_to_play,sports,racing,massively_multiplayer
418,Wolf Pack,0,1,0,0,0,0,0,0,0,0,0,0
419,Butcher Boy Promo Edition,1,0,0,1,1,0,0,1,0,0,0,0
420,Half-Life 2: Episode Two,0,1,0,0,0,0,0,0,0,0,0,0
423,London Faversham Collection,0,0,0,0,1,0,0,0,0,0,0,0
425,DOOM 3 Pack,0,1,0,0,0,0,0,0,0,0,0,0
428,10tons Shooters,1,1,1,0,1,1,1,0,0,1,0,0
430,Novus Inceptio: Soundtrack Edition,1,0,1,0,1,0,1,1,0,0,0,0
434,QUAKE Collection,0,1,0,0,0,0,0,0,0,0,0,0
435,SpeedRunners Deluxe Pack,1,1,0,1,0,0,0,0,0,1,1,0
437,Fort Defense Complete Edition,1,0,1,1,0,1,0,0,0,0,0,0
439,Heretic + Hexen Collection,0,1,0,0,0,0,0,0,0,0,0,0
440,Team Fortress 2,0,1,0,0,0,0,0,0,1,0,0,0
441,Zup! [11-13],1,0,0,1,0,0,0,0,0,0,0,0
443,Life is Hard with Soundtrack,1,0,1,0,1,1,0,1,0,0,0,0
445,Roll7 RETROspective,1,1,1,0,0,0,0,0,0,1,0,0
447,The Escapists: Complete Pack,1,1,1,0,1,1,0,0,0,0,0,0
451,Homeworld Remastered Collection Deluxe Edition,0,0,0,0,1,1,0,0,0,0,0,0
459,The Light Sword Bundle,1,0,1,0,0,1,1,0,0,0,0,0
460,Total War: MEDIEVAL II - Definitive Edition,0,0,0,0,0,1,0,0,0,0,0,0
461,Daedalic Adventure Bundle II,1,0,1,0,0,0,0,0,0,0,0,0
462,Complete Trese Brothers Pack,1,1,0,0,1,1,1,0,0,0,0,0
463,Rome: Total War™ Collection,0,0,0,0,0,1,0,0,0,0,0,0
464,Hidden Object Bundle,1,0,1,1,0,0,0,0,0,0,0,0
469,The Orange Box,0,1,0,0,0,0,0,0,1,0,0,0
473,Pug Life Bundle,1,1,0,1,0,0,0,0,0,0,0,0
476,Hero Siege Complete,1,1,1,0,0,0,1,0,0,0,0,1
477,The Dream Machine - Full Game,1,0,1,1,0,0,0,0,0,0,0,0
481,Awesome Bundle by New Reality Games,1,1,1,1,0,1,0,0,0,0,0,1
482,Super Mega Bundle by New Reality Games,1,1,1,1,1,1,1,1,0,0,0,0
483,"Gremlins, Inc. – The Governor Edition",1,0,0,0,0,1,0,0,0,0,0,0
488,Fantasy Grounds Deadlands Reloaded Bundle,1,0,0,0,0,1,1,0,0,0,0,0
490,Flat Kingdom Deluxe Edition,1,1,1,0,0,0,0,0,0,0,0,0
492,Season #2 Pro Bundle,0,0,0,0,0,0,0,0,0,0,0,0
494,Endless Loop Management,1,0,0,1,1,1,0,1,0,0,0,0
497,Mecha Ritz: Steel Rondo Soundtrack Edition,1,1,0,0,0,0,0,0,0,0,0,0
498,Back In Time Bundle,1,1,1,1,0,0,0,0,0,0,0,0
499,KHB-Soft Complete Pack,1,1,1,1,0,0,0,0,0,0,0,0
500,Left 4 Dead,0,1,0,0,0,0,0,0,0,0,0,0
506,Age of Fear Supporter Bundle,1,0,0,0,0,1,1,0,0,0,0,0
507,The Screwfly Collection,1,0,0,0,1,1,1,0,0,0,0,0
510,Lost Sea Game + Soundtrack,1,1,1,0,0,0,0,0,0,0,0,0
511,10tons Total,1,1,1,1,1,1,1,0,0,1,0,0
514,Storm Sharks,1,1,1,1,0,0,1,0,0,0,0,0
516,Survivor Squad Complete,1,1,0,0,0,1,0,0,0,0,0,0
525,Pure Pool + Snooker Bundle,0,0,0,1,1,0,0,0,0,1,0,0
526,Bros Bundle,1,1,1,1,1,1,0,0,0,0,0,0
531,Classic Wargames,1,0,0,0,1,1,0,0,0,0,0,0
532,Shadowrun Complete Collection,1,0,1,0,0,1,1,0,0,0,0,0
533,Spakoyno GOTY Edition,0,0,1,1,0,0,0,0,0,0,0,0
535,Games by Tonguç Bodur,1,0,1,1,1,0,0,0,0,0,0,0
543,"Warhammer 40,000: Armageddon - Imperium Complete",0,0,0,0,0,1,0,0,0,0,0,0
550,Left 4 Dead 2,0,1,0,0,0,0,0,0,0,0,0,0
552,Shadowgrounds Pack,0,1,0,0,0,0,0,0,0,0,0,0
567,Back To Basics Mixer Bundle,1,1,1,1,0,0,1,1,0,0,1,0
570,Dota 2,0,1,0,0,0,1,0,0,1,0,0,0
571,Kingdom Tales Bundle,0,0,0,1,0,0,0,0,0,0,0,0
577,Homeworld Remastered Collection and Deserts of Kharak Bundle,0,0,0,0,1,1,0,0,0,0,0,0
585,Where Angels Cry Bundle,0,0,1,1,0,0,0,0,0,0,0,0
588,Dyna Bomb - Game + OST Pack #1,1,1,1,1,0,0,0,0,0,0,0,0
590,Battle of Empires: 1914-1918 - Classic,1,1,0,0,1,1,0,0,0,0,0,0
597,The Polynomial 1&2,1,1,0,1,1,0,0,1,0,0,0,0
603,Max Payne Bundle,0,1,0,0,0,0,0,0,0,0,0,0
604,Risen Franchise Pack,0,1,1,0,0,0,1,0,0,0,0,0
607,Sacred Franchise Pack,0,1,0,0,0,0,1,0,0,0,0,0
608,Lost Lands Collection,0,0,1,1,0,0,0,0,0,0,0,0
611,1917 - The Alien Invasion - Game + OST Pack #1,1,1,1,1,0,1,0,0,0,0,0,0
612,Killing Floor 1 Complete Your Set!,0,1,0,0,0,0,0,0,0,0,0,0
616,Tripwire Complete Bundle,1,1,1,1,1,1,0,0,0,0,1,1
617,The Black Cube series,1,0,1,0,0,0,0,0,0,0,0,0
620,Portal 2,0,1,1,0,0,0,0,0,0,0,0,0
622,Age of Fear Series Bundle (Complete),1,0,0,0,0,1,1,0,0,0,0,0
627,fault complete edition,1,0,1,1,0,0,0,0,0,0,0,0
628,GTGD Complete Pack,1,1,0,0,1,1,0,1,0,0,0,0
630,Alien Swarm,0,1,0,0,0,0,0,0,0,0,0,0
633,Bloodbath Kavkaz GOTY Edition,1,1,1,0,0,0,0,0,0,0,0,0
636,Battle vs Chess - Grandmaster Premium Edition,0,0,0,0,0,0,0,0,0,0,0,0
637,Check vs Mate - Grandmaster Premium Edition,0,1,0,1,0,1,0,0,0,0,0,0
647,Dancing Dragon RPG Complete,1,0,0,1,0,0,1,0,0,0,0,0
650,The Next World: Exploration Bundle,1,0,1,1,0,1,0,0,0,0,0,0
653,The Real Texas - Dusty Skies Edition,1,1,1,0,0,0,1,0,0,0,0,0
657,Michalski Magic,1,0,1,0,0,0,0,0,0,0,0,0
658,Infernal Dream Collection,1,1,1,0,0,0,0,0,0,0,0,0
660,Portal 2 Sixense MotionPack DLC,0,0,0,0,0,0,0,0,0,0,0,0
667,Farnham Fables - Tape 1,1,0,1,1,0,0,0,0,0,0,0,0
676,NEKOPARA complete edition,1,0,0,1,0,0,0,0,0,0,0,0
680,The Bedtime Bundle,1,1,1,1,0,0,0,0,0,0,0,0
683,Unreal Deal Pack,0,1,0,0,0,0,0,0,0,0,0,0
689,Sunrider Collection,1,0,0,1,1,1,1,0,0,0,0,0
692,Dogfight 1942 Complete Pack,0,1,0,0,1,0,0,0,0,0,0,0
697,Affairs of the Court - Deluxe Edition,1,0,1,0,0,0,1,0,0,0,0,0
698,Digital Sound Factory: Session Drummer 3 Expansions,0,0,0,0,0,0,0,0,0,0,0,0
701,onechanbara Z2 :Chaos All DLC Bundle,0,1,0,0,0,0,0,0,0,0,0,0
708,The Dope Game: Dope Fiend Edition,0,0,1,1,1,0,0,0,0,0,0,0
709,Higurashi When They Cry Hou,1,0,1,1,0,0,0,0,0,0,0,0
710,Sakura Bundle,1,0,1,1,1,0,1,0,0,0,0,0
729,Dracula - Collection,0,0,1,1,0,0,0,0,0,0,0,0
730,Counter-Strike: Global Offensive,0,1,0,0,0,0,0,0,1,0,0,0
734,Goindol Bundle,0,0,0,0,0,0,0,0,0,0,0,0
738,Infernal Dream: Premium Bundle,1,1,1,0,0,0,0,0,0,0,0,0
743,Dungeons Bundle,0,0,0,0,1,1,1,0,0,0,0,0
746,Lonely Troops Collection,1,0,1,1,1,1,1,0,0,0,0,0
749,Fearsome Shadows Bundle,0,0,1,1,0,0,0,0,0,0,0,0
754,Mysterious Places Bundle,0,0,1,1,0,0,0,0,0,0,0,0
755,Rainbow Six Bundle,0,1,0,0,0,0,0,0,0,0,0,0
778,Townopolis Romopolis Megapolis Collection,1,0,0,1,1,1,0,0,0,0,0,0
779,Hero of the Kingdom Collection,1,0,1,1,0,0,1,0,0,0,0,0
780,Eador Series Bundle,1,0,0,0,0,1,1,0,0,0,0,0
809,Devil May Cry 4: Special Edition Demon Hunter Bundle,0,1,0,0,0,0,0,0,0,0,0,0
813,The Big One Bundle,1,1,1,1,1,1,1,0,0,1,0,0
818,Buy Revolve and the Revolve Soundtrack,1,1,0,0,0,0,0,0,0,0,0,0
821,IN-VERT: Game + Soundtrack,1,1,1,0,0,0,0,0,0,0,0,0
825,Back To Basics Mixer Bundle 2,1,1,1,1,0,1,1,1,0,0,0,0
827,One Way Heroics + Plus Edition,1,0,0,0,0,0,1,0,0,0,0,0
829,Attack on Titan - Episode All Set,0,1,0,0,0,0,0,0,0,0,0,0
830,Attack on Titan - Costume All Set,0,1,0,0,0,0,0,0,0,0,0,0
831,Attack on Titan - Weapon All Set,0,1,0,0,0,0,0,0,0,0,0,0
833,RPG Heroes Bundle,1,1,1,1,1,1,1,0,0,0,0,0
843,Quantum Rush Champions Full Pack,1,1,0,1,1,0,0,0,0,1,1,0
845,GameArt Studio All Games,1,1,0,1,1,1,0,0,0,1,1,0
846,A.I. Invasion Full Pack,1,1,0,0,1,1,0,0,0,0,0,0
853,Bulb Boy + Soundtrack Bundle,1,0,1,0,0,0,0,0,0,0,0,0
871,Tetradecagon + Soundtrack,1,1,0,1,0,0,0,0,0,0,0,0
872,System Crash Deluxe Edition,1,0,0,0,0,1,0,0,0,0,0,0
876,The Weird Collection,1,0,0,0,1,1,1,0,0,0,0,0
877,Space Pilgrim Saga,1,0,1,0,0,0,0,0,0,0,0,0
883,3000AD SCI-FI COMPENDIUM,1,1,0,0,1,1,1,0,0,0,0,0
893,2 Best Quest Games Bundle,1,0,1,1,0,0,0,0,0,0,0,0
903,Valley + Soundtrack,1,1,1,0,0,0,0,0,0,0,0,0
904,Blue Isle Catalog,1,1,1,0,0,0,1,1,0,0,0,1
923,The Black Watchmen - Occult Agent Edition,1,0,1,0,0,0,1,0,0,0,0,1
927,Pacific Storm Pack,0,0,0,0,1,1,0,0,0,0,0,0
929,Alice and Smith - Investigation Games,1,0,1,1,1,1,1,0,0,0,0,1
934,Puzzle Game - Starter Pack,1,0,1,1,0,1,1,0,0,0,0,0
936,Alawar Adventure Collection,0,0,1,1,1,1,0,0,0,0,0,0
946,Quadrilateral Cowboy Deluxe Edition,1,1,1,0,0,0,0,0,0,0,0,0
959,The Rhine Railway: Mannheim - Karlsruhe Collection,0,0,0,0,1,0,0,0,0,0,0,0
960,North London Line Collection,0,0,0,0,1,0,0,0,0,0,0,0
961,Digital Melody Bundle,1,1,0,1,0,0,0,0,0,0,0,0
964,X-COM: Complete Pack,0,0,0,0,0,1,0,0,0,0,0,0
970,Soldier Summit Collection,0,0,0,0,1,0,0,0,0,0,0,0
977,Puzzle Box - Game + DLC Pack #2,1,1,1,1,0,1,0,0,0,0,0,0
978,Multiwinia + Darwinia,1,0,0,0,0,1,0,0,0,0,0,0
983,Supergiant Collection,1,1,0,0,0,0,1,0,0,0,0,0
987,Crysis® Maximum Edition,0,1,0,0,0,0,0,0,0,0,0,0
1005,Moon Colonization Project: Deluxe Edition,1,0,1,1,1,1,0,0,0,0,0,0
1007,Children of the Nile Pack,0,0,0,0,1,1,0,0,0,0,0,0
1011,Dinosaur Hunt XXL Edition,1,1,1,0,1,0,0,1,0,0,0,0
1012,Project Graviton + OST Bundle,1,0,1,1,0,0,0,0,0,0,0,0
1013,Press X to Not Die: Special Edition,1,1,0,0,0,0,0,0,0,0,0,0
1016,TankZone Battle and Underground Keeper,1,1,0,1,0,0,0,0,0,0,0,0
1017,Complete,1,1,0,1,0,0,0,0,0,1,1,0
1020,Roguelike Rampage Bundle - Black Shell Media,1,1,1,1,0,1,1,0,0,0,0,0
1021,Back To Basics Sci Fi Bundle,1,1,1,1,0,1,1,1,0,0,1,0
1024,Ocean Word Blast Bundle,1,0,0,1,0,0,0,1,0,0,0,0
1027,Inexplicable Geeks: Everything,1,0,1,1,0,0,0,0,0,0,0,0
1028,The Pixeljam Collection,1,1,1,0,0,0,0,0,0,1,1,0
1034,Triangle Studios Bundle,1,1,1,1,0,0,0,0,0,0,0,0
1041,DreamBreak- Soviet Bloc Edition,1,1,1,0,0,0,0,0,0,0,0,0
1047,Sins of a Solar Empire Gold,1,0,0,0,0,1,0,0,0,0,0,0
1052,Ghost Sweeper + Dyna Bomb Studio Pack #1,1,1,1,1,0,0,0,0,0,0,0,0
1057,Royal Bounty HD + Dwarf Tower,1,0,1,0,0,1,1,0,0,0,0,0
1068,The Girl and the Robot - Game + Soundtrack + Art Book,1,1,1,0,0,0,1,0,0,0,0,0
1077,Hitman Collection,0,1,0,0,0,0,0,0,0,0,0,0
1103,Kindred Spirits Complete Collection,0,0,1,0,0,0,0,0,0,0,0,0
1104,Dungeon Escape - Soundtrack Edition,1,1,1,0,0,0,0,0,0,0,0,0
1105,Royal Defense Complete Edition,1,0,0,1,0,1,0,0,0,0,0,0
1107,HOG bundle of bundles!,0,0,1,1,0,0,0,0,0,0,0,0
1114,Okhlos: Olympus Edition,1,1,0,0,0,1,0,0,0,0,0,0
1119,Sumeru Deluxe Edition,1,0,1,1,0,0,0,0,0,0,0,0
1126,Day D: Tower Rush Complete Edition,1,0,0,1,0,1,0,0,0,0,0,0
1128,Airport Madness Collection,0,0,1,1,1,0,0,0,0,0,0,0
1130,Princess.Loot.Pixel.Again + Soundtrack!,1,1,1,0,0,0,1,0,0,0,0,0
1141,Battle vs Chess - Grandmaster Edition,0,0,0,0,0,0,0,0,0,0,0,0
1147,8-Bit Hordes Complete Edition,1,0,0,0,1,1,0,0,0,0,0,0
1150,Blade Ballet Turntable Edition,1,1,0,1,0,0,0,0,0,0,0,0
1153,Pan-Pan: Planetary Pack,1,0,1,0,0,0,0,0,0,0,0,0
1159,Offworld Trading Company Gold,1,0,0,0,1,1,0,0,0,0,0,0
1160,PopCap Favorites,0,0,0,1,0,0,0,0,0,0,0,0
1161,Flump Studios Complete Pack,1,1,0,0,0,0,0,0,0,0,0,0
1162,Fever Dreams,1,1,1,1,0,1,1,0,0,0,0,0
1188,DMC4SE Demon Hunter Bundle + DmC Complete Pack,0,1,1,0,0,0,0,0,0,0,0,0
1189,Handsome Mr. Frog - Game and Soundtrack,1,1,0,0,0,0,0,0,0,0,0,0
1194,Sky To Fly: 2 in 1  Steampunk Games Bundle,1,1,1,0,1,0,0,0,0,1,1,0
1200,GENESIS BUNDLE,1,1,1,0,0,0,0,0,0,0,0,0
1204,4 Arcade Games Bundle + Soundtrack,1,1,1,0,1,0,0,0,0,1,1,0
1205,Tropico 5 - Complete Collection,0,0,0,0,1,1,1,0,0,0,0,0
1206,Fatshark Bundle,1,1,1,1,0,1,1,0,0,0,0,0
1207,3 Arcade Games in 1 Bundle: Run Rabbit Run + Sky to Fly,1,1,1,0,1,0,0,0,0,1,1,0
1208,Dark Parables Pack,0,0,1,1,0,0,0,0,0,0,0,0
1215,Enigmatis Collection,0,0,1,1,0,0,0,0,0,0,0,0
1222,Zombie Bundle,1,1,1,0,1,0,0,0,0,0,0,1
1226,Selma and the Wisp plus Soundtrack,1,1,1,1,0,0,0,0,0,0,0,0
1229,Overlord: Ultimate Evil Collection,0,1,1,0,0,0,1,0,0,0,0,0
1230,Mare Nostrum,0,1,0,0,0,0,0,0,0,0,0,0
1231,The Healthy Profits Bundle,1,0,0,0,1,1,0,0,0,0,0,0
1232,Resident Evil 4/5/6,0,1,1,0,0,0,0,0,0,0,0,0
1240,Minor Key Games Complete Collection,1,1,1,1,0,1,1,0,0,0,0,0
1241,Keep Talking and Nobody Explodes + Soundtrack,1,0,0,0,0,0,0,0,0,0,0,0
1248,Shooting Love 20XX,0,1,0,0,0,0,0,0,0,0,0,0
1250,Killing Floor,0,1,0,0,0,0,0,0,0,0,0,0
1256,Killing Floor Outbreak Character Pack,0,1,0,0,0,0,0,0,0,0,0,0
1257,Killing Floor: Nightfall Character Pack,0,1,0,0,0,0,0,0,0,0,0,0
1258,Notch - The Innocent LunA Collection,1,0,1,1,0,0,0,0,0,0,0,0
1263,Boulder Dash - 30th Anniversary Deluxe Edition,1,1,0,1,0,0,0,0,0,0,0,0
1265,Mystery Case Files Bundle,0,0,1,1,0,0,0,0,0,0,0,0
1266,SPACE PACK,1,1,0,1,0,0,0,0,0,0,0,0
1267,Doomster Bundle,1,1,1,1,0,0,1,0,0,0,0,0
1275,Uprising Complete,0,1,0,0,0,1,0,0,0,0,0,0
1290,BITRAYS,1,0,0,1,0,0,0,0,0,0,0,0
1291,Nomad Games - 5 Game Bundle,1,0,1,1,0,1,1,0,0,0,0,0
1293,Triangle Service Shmups Collection,0,1,0,0,0,0,0,0,0,0,0,0
1297,Siege Saga + Optika,1,0,1,1,0,0,0,0,0,0,0,0
1303,Spiderweb Software Super-Gigantic Bundle,1,0,1,0,0,1,1,0,0,0,0,0
1333,Mugen Souls Z DLC Collection,0,0,1,0,0,1,1,0,0,0,0,0
1349,NeuroVoider - Deluxe Edition,1,1,0,0,0,0,1,0,0,0,0,0
1355,Automobilista + Season Pass for All DLCs,0,0,0,0,1,0,0,0,0,1,1,0
1356,Buka Post Apocalyptic Collection,0,1,0,0,0,1,1,0,0,0,1,0
1361,Just Deserts Complete Costume Bundle,1,0,0,1,1,1,0,0,0,0,0,0
1364,Shadow Warrior 2 Deluxe,0,1,1,0,0,0,0,0,0,0,0,0
1365,Killing Time at Lightspeed Game + Soundtrack,1,0,1,0,0,0,0,0,0,0,0,0
1373,Hue Game and Soundtrack Bundle,1,0,1,0,0,0,0,0,0,0,0,0
1379,Revolution 60: Special Edition Bundle,0,0,1,0,0,0,0,0,0,0,0,0
1386,Shiny: Digital Deluxe Edition,1,1,0,0,0,0,0,0,0,0,0,0
1387,Back To Basics Epilepsy Bundle,1,0,0,1,0,0,0,0,0,0,0,0
1390,Angels Blue Games,1,1,1,1,0,0,1,0,0,0,0,0
1391,The Metronomicon Deluxe Edition,1,1,0,0,0,0,1,0,0,0,0,0
1395,SUPERFIGHT - The Naughty & Nice Bundle,1,0,0,1,0,1,0,0,0,0,0,0
1404,SUPERFIGHT - The Super Bundle,1,1,0,1,0,1,0,0,0,0,0,0
1405,One Way Bundle,1,0,0,0,0,0,1,0,0,0,0,0
1422,Mai Shiranui Character + Debut Costumes,0,1,0,0,0,0,0,0,0,0,0,0
1424,KOF Mashup Content Set,0,1,0,0,0,0,0,0,0,0,0,0
1425,Rytmik Ultimate Complete,0,0,0,0,0,0,0,0,0,0,0,0
1426,Cinemax Complete,1,0,1,1,0,0,1,1,0,0,1,0
1427,Cinemax RPG Pack,1,0,0,0,0,0,1,0,0,0,0,0
1428,Runbow - Extra Val-Hue Bundle,1,1,1,1,0,0,0,0,0,0,1,0
1435,Multimirror Deluxe Edition,1,0,0,1,0,0,0,0,0,0,0,0
1442,In Fear I Trust: Episodes 1-4 Collection Pack,0,0,1,0,0,0,0,0,0,0,0,0
1456,Wuppo - Special Edition,1,1,1,0,0,0,1,0,0,0,0,0
1468,The Codemasters Complete Collection,0,1,1,0,1,1,1,0,0,1,1,0
1471,18 Wheels of Steel Top Payload Pack 2,0,0,0,0,1,0,0,0,0,0,0,0
1475,Tennis Elbow Bundle,0,0,0,0,1,0,0,1,0,1,0,0
1476,Minimized Deluxe,1,1,1,0,0,0,0,0,0,0,0,0
1478,Cosmi Fun Pack,0,0,0,1,1,0,0,0,0,0,0,0
1481,Peggle Complete,0,0,0,1,0,0,0,0,0,0,0,0
1482,Two Tribes Complete Pack,1,1,1,1,0,1,0,0,0,0,0,0
1484,Fallen Enchantress: Ultimate Edition,1,0,0,0,0,1,1,0,0,0,0,0
1488,Interstellar Insanity Bundle - Black Shell Media,1,1,0,0,0,0,0,0,0,0,0,0
1496,Lichtspeer Uber Edition,1,1,1,0,0,0,0,0,0,0,0,0
1498,Nooskewl Complete Collection,1,1,0,0,0,0,1,0,0,0,0,0
1500,Darwinia,1,0,0,0,0,1,0,0,0,0,0,0
1506,Retrific Platformer Bundle,1,1,1,1,0,0,0,0,0,1,1,0
1507,Dig 4 Destruction - Mask Pack 1 [Octopus][Knight][Curse],0,1,0,1,0,0,0,0,0,0,0,1
1508,Battle Disc Season 1,0,0,0,0,0,0,0,0,0,0,0,0
1510,Uplink,1,0,0,0,0,1,0,0,0,0,0,0
1514,BrainGoodGames Complete,1,0,0,0,0,1,0,0,0,0,0,0
1520,DEFCON,1,0,0,0,0,1,0,0,0,0,0,0
1521,Microcosmum: survival of cells  Bundle,1,1,0,1,1,1,1,0,0,0,0,0
1529,Company of Heroes Complete Pack,0,1,0,0,0,1,0,0,0,0,0,0
1530,Multiwinia,1,0,0,0,0,0,0,0,0,0,0,0
1539,SnakEscape + Soundtrack,1,0,1,1,1,0,0,0,0,0,0,0
1541,Big Bundle,1,1,1,1,0,1,0,0,0,0,0,0
1550,Super,1,1,1,1,0,0,0,1,1,0,0,0
1557,Europa Universalis IV: Rights of Man Collection,0,0,0,0,1,1,0,0,0,0,0,0
